segment_id,segment_name,campaign_family,campaign_intent,rfm_segment,data_usage_segment,voice_usage_segment,data_usage_trend,voice_usage_trend,opportunity,nbo_action,customer_signal,customer_meaning,subs_count,arpu_avg_or,arpu_min_or,arpu_max_or,total_revenue_or,data_revenue_or,voice_revenue_or,recharges_per_month_avg,recharge_amount_avg_or,recharge_frequency_days,avg_data_gb,avg_voice_min,churn_risk_score,activity_score,inactive_days,tenure_months_avg,current_pack_type,offer_affinity,business_context,customer_count,avg_arpu
Seg-982,About to Sleep — ZeroD-LowV (Activation),activation,increase_activity,About to Sleep,Zero,low,Declining,Dormant,Activation,Last call reactivation,Fading Low Voice User,Declining low voice customer becoming inactive,9624,0.79,0.28,2.02,7602.96,760.3,6842.66,0.53,1.36,57,0.0,47,0.97,0.15,48,66,monthly_combo,combo_pack|retention_pack,prepaid,9624,0.79
Seg-1031,About to Sleep — ZeroD-MediumV (Activation),activation,increase_activity,About to Sleep,Zero,medium,Declining,Dormant,Activation,Voice reactivation medium,Fading Medium Voice User,Declining medium voice customer slipping inactive,10496,0.74,0.37,1.53,7767.04,776.7,6990.34,0.51,1.58,59,0.0,122,0.96,0.2,34,18,monthly_combo,combo_pack|retention_pack,prepaid,10496,0.74
Seg-198,About to Sleep — LowD-ZeroV (Activation),activation,increase_activity,About to Sleep,low,Zero,Declining,Dormant,Activation,Starter pack revive,Low Digital User Going Dormant,Light digital user slipping inactive,12018,0.78,0.37,1.92,9374.04,8436.64,937.4,0.5,1.41,60,2.88,0,0.97,0.16,41,13,monthly_combo,combo_pack|retention_pack,prepaid,12018,0.78
Seg-2,About to Sleep — LowD-LowV (Activation),activation,increase_activity,About to Sleep,low,low,Declining,Dormant,Activation,Starter reactivation,Fading Entry User,Low-engagement user slipping toward inactivity,9527,0.75,0.32,2.05,7145.25,3929.89,3215.36,0.57,1.38,53,3.15,41,0.81,0.28,69,81,monthly_combo,combo_pack|retention_pack,prepaid,9527,0.75
Seg-51,About to Sleep — LowD-MediumV (Activation),activation,increase_activity,About to Sleep,low,medium,Declining,Dormant,Activation,Voice revive basic,Fading Voice-First User,Moderate voice user slipping toward dormancy,9209,1.19,0.48,3.42,10958.71,3598.38,7360.33,0.51,2.11,59,3.58,104,0.83,0.3,36,65,monthly_combo,combo_pack|retention_pack,prepaid,9209,1.19
Seg-1179,About to Sleep — Silent (Nurture),nurture,increase_activity,About to Sleep,Zero,Zero,Declining,Early Recovery,Nurture,Starter comeback pack,Early Wake Signal,Weak customer showing first signs of return,9371,1.18,0.5,2.87,11057.78,5528.89,5528.89,0.57,2.04,53,0.0,0,0.98,0.13,54,27,inactive,reactivation_bonus|starter_pack,prepaid,9371,1.18
Seg-1081,About to Sleep — Voice Heavy (Nurture),nurture,increase_activity,About to Sleep,Zero,high,Declining,Early Recovery,Nurture,Recovery starter high,Early High Voice Recovery,Declining user showing first comeback signs,11194,1.95,0.93,5.95,21828.3,2182.83,19645.47,0.58,3.11,52,0.0,214,0.97,0.16,52,24,voice_heavy,voice_pack|cross_sell_addon,prepaid,11194,1.95
Seg-983,About to Sleep — ZeroD-LowV (Nurture),nurture,increase_activity,About to Sleep,Zero,low,Declining,Early Recovery,Nurture,Voice starter pack,Early Voice Recovery,Declining customer showing first voice recovery signs,9250,1.16,0.55,3.08,10730.0,1073.0,9657.0,0.56,2.13,54,0.0,47,0.89,0.19,58,29,monthly_combo,combo_pack|retention_pack,prepaid,9250,1.16
Seg-1032,About to Sleep — ZeroD-MediumV (Nurture),nurture,increase_activity,About to Sleep,Zero,medium,Declining,Early Recovery,Nurture,Recovery starter medium,Early Medium Voice Recovery,Declining customer showing initial comeback,11441,1.11,0.5,2.54,12699.51,1269.95,11429.56,0.48,2.3,62,0.0,107,0.95,0.19,63,18,monthly_combo,combo_pack|retention_pack,prepaid,11441,1.11
Seg-689,About to Sleep — Data Heavy (Nurture),nurture,increase_activity,About to Sleep,high,Zero,Declining,Early Recovery,Nurture,Data recovery starter,Early Digital Recovery,Declining high-data user showing first comeback signs,9985,2.88,1.47,8.12,28756.8,25881.12,2875.68,0.55,4.79,55,14.17,0,0.88,0.28,62,25,data_heavy,data_addon|ott_bundle,prepaid,9985,2.88
Seg-591,About to Sleep — Premium Dual (Nurture),nurture,increase_activity,About to Sleep,high,high,Declining,Early Recovery,Nurture,Premium recovery start,Early Premium Recovery,Declining premium customer showing first recovery signs,9360,4.5,2.28,10.04,42120.0,23166.0,18954.0,0.53,8.6,57,13.57,199,0.86,0.31,65,7,premium_combo,ott_bundle|loyalty_pack,prepaid,9360,4.5
Seg-493,About to Sleep — Data Heavy (Nurture),nurture,increase_activity,About to Sleep,high,low,Declining,Early Recovery,Nurture,Recovery starter bundle,Early Mixed Recovery,Declining customer showing first signs of comeback,9814,3.65,1.94,11.17,35821.1,30310.16,5510.94,0.55,6.1,55,15.36,43,0.82,0.27,54,81,data_heavy,data_addon|ott_bundle,prepaid,9814,3.65
Seg-2408,At Risk — Silent (Monitor),monitor,recommend_best_campaign,At Risk,Zero,Zero,Declining,no_trend,Monitor,Close inactivity watch,Unclear Zero Decline,Usage weak with uncertain movement,14004,1.43,0.63,2.92,20025.72,10012.86,10012.86,0.73,1.96,41,0.0,0,0.98,0.21,50,46,inactive,reactivation_bonus|starter_pack,prepaid,14004,1.43
Seg-6068,Customers needing Attention — Silent (Monitor),monitor,recommend_best_campaign,Customers needing Attention,Zero,Zero,Declining,no_trend,Monitor,Observe inactivity,Unclear Silence,"No data, no clear voice trend",17217,1.81,0.9,4.97,31162.77,15581.39,15581.38,0.75,2.65,40,0.0,0,0.87,0.27,42,26,inactive,reactivation_bonus|starter_pack,prepaid,17217,1.81
Seg-2310,At Risk — Voice Heavy (Monitor),monitor,recommend_best_campaign,At Risk,Zero,high,Declining,no_trend,Monitor,Monitor high voice,Stable High Voice Risk,Voice strong but unclear,14154,2.62,1.03,8.17,37083.48,3708.35,33375.13,0.56,5.06,54,0.0,245,0.86,0.3,49,67,voice_heavy,voice_pack|cross_sell_addon,prepaid,14154,2.62
Seg-2212,At Risk — ZeroD-LowV (Monitor),monitor,recommend_best_campaign,At Risk,Zero,low,Declining,no_trend,Monitor,Observe low user,Low Voice Unclear,Weak voice with uncertain trend,14385,1.38,0.66,4.13,19851.3,1985.13,17866.17,0.57,2.25,53,0.0,53,0.83,0.28,64,32,monthly_combo,combo_pack|retention_pack,prepaid,14385,1.38
Seg-2261,At Risk — ZeroD-MediumV (Monitor),monitor,recommend_best_campaign,At Risk,Zero,medium,Declining,no_trend,Monitor,Track medium voice,Unclear Voice Medium,Voice stable but unclear,15629,1.28,0.65,2.93,20005.12,2000.51,18004.61,0.6,1.95,50,0.0,102,0.85,0.28,21,32,monthly_combo,combo_pack|retention_pack,prepaid,15629,1.28
Seg-4658,Champions — ZeroD-LowV (NBO),growth,increase_arpu,Champions,Zero,low,Declining,Early Recovery,NBO,Small incentive,Weak Recovery,Trying to return,23711,4.15,1.98,8.97,98400.65,9840.07,88560.58,1.0,3.74,30,0.0,42,0.19,0.89,8,40,monthly_combo,combo_pack|retention_pack,prepaid,23711,4.15
Seg-4854,Champions — Silent (NBO),growth,increase_arpu,Champions,Zero,Zero,Declining,Early Recovery,NBO,Free trial offer,Weak Signal,Trying to return,22211,4.69,2.3,13.77,104169.59,52084.79,52084.8,1.2,4.01,25,0.0,0,0.44,0.65,41,15,inactive,reactivation_bonus|starter_pack,prepaid,22211,4.69
Seg-4560,Champions — Premium Dual (NBO),growth,increase_arpu,Champions,very_high,very_high,Declining,Early Recovery,NBO,Gentle engagement offer,Partial Recovery,Recovery starting,19080,31.91,15.81,74.69,608842.8,334863.54,273979.26,1.0,34.45,30,24.44,357,0.11,0.9,4,55,premium_combo,ott_bundle|loyalty_pack,prepaid,19080,31.91
Seg-4266,Champions — Premium Dual (NBO),growth,increase_arpu,Champions,high,high,Declining,Early Recovery,NBO,Reactivation offer,Recovery Signal,Recovering slightly,21931,19.77,6.98,36.78,433575.87,238466.73,195109.14,1.3,14.35,23,15.67,235,0.06,0.93,8,33,premium_combo,ott_bundle|loyalty_pack,prepaid,21931,19.77
Seg-3874,Champions — LowD-ZeroV (NBO),growth,increase_arpu,Champions,low,Zero,Declining,Early Recovery,NBO,Free starter pack,Recovery Signal,Starting to return,21844,4.46,1.89,9.17,97424.24,87681.82,9742.42,1.11,4.14,27,2.88,0,0.15,0.9,8,75,monthly_combo,combo_pack|retention_pack,prepaid,21844,4.46
Seg-3678,Champions — LowD-LowV (NBO),growth,increase_arpu,Champions,low,low,Declining,Early Recovery,NBO,Light usage pack,Recovery Signal,Starting to engage,20473,4.14,1.99,8.3,84758.22,46617.02,38141.2,1.3,3.16,23,3.09,45,0.08,0.96,3,33,monthly_combo,combo_pack|retention_pack,prepaid,20473,4.14
Seg-4217,Champions — HighD-MediumV (NBO),growth,increase_arpu,Champions,high,medium,Declining,Early Recovery,NBO,Reactivation bundle,Recovery Signal,Recovering slightly,21892,14.84,7.34,38.92,324877.28,223353.13,101524.15,1.11,13.28,27,16.12,117,0.15,0.83,5,27,monthly_combo,combo_pack|retention_pack,prepaid,21892,14.84
Seg-4511,Champions — Premium Dual (NBO),growth,increase_arpu,Champions,very_high,high,Declining,Early Recovery,NBO,Reactivation bundle,Recovery Signal,Recovering slightly,21859,25.56,13.92,60.42,558716.04,366137.32,192578.72,1.11,23.08,27,20.6,232,0.06,0.96,0,7,premium_combo,ott_bundle|loyalty_pack,prepaid,21859,25.56
Seg-10146,Potential Loyalist — MediumD-HighV (NBO),growth,increase_arpu,Potential Loyalist,medium,high,Declining,Early Recovery,NBO,Combo trial,Recovery Start,Improving,71587,8.09,2.89,17.36,579138.83,234210.56,344928.27,1.0,8.63,30,9.16,243,0.28,0.76,5,79,monthly_combo,combo_pack|retention_pack,prepaid,71587,8.09
Seg-10097,Potential Loyalist — Balanced (NBO),growth,increase_arpu,Potential Loyalist,medium,medium,Declining,Early Recovery,NBO,Trial combo pack,Recovery start,User returning,64003,6.52,2.99,12.85,417299.56,229514.76,187784.8,0.94,7.17,32,8.77,121,0.24,0.8,1,52,monthly_combo,combo_pack|retention_pack,prepaid,64003,6.52
Seg-9901,Potential Loyalist — Voice Heavy (NBO),growth,increase_arpu,Potential Loyalist,low,high,Declining,Early Recovery,NBO,Trial data add-on,Data returning slowly,User exploring data,57061,6.19,2.37,18.54,353207.59,75442.4,277765.19,0.86,7.05,35,3.63,218,0.21,0.82,6,58,voice_heavy,voice_pack|cross_sell_addon,prepaid,57061,6.19
Seg-9852,Potential Loyalist — LowD-MediumV (NBO),growth,increase_arpu,Potential Loyalist,low,medium,Declining,Early Recovery,NBO,Trial combo pack,Data returning,User testing services,64086,4.62,1.65,12.77,296077.32,97219.42,198857.9,0.88,4.74,34,3.58,107,0.29,0.77,4,72,monthly_combo,combo_pack|retention_pack,prepaid,64086,4.62
Seg-5209,Customers needing Attention — Balanced (Voice Rescue),rescue,reduce_churn,Customers needing Attention,medium,medium,Early Recovery,Declining,Voice Rescue,Voice retention combo,Data Trial Voice Drop,"Data recovering, voice declining",19559,4.75,1.94,14.74,92905.25,51097.89,41807.36,0.88,5.89,34,8.61,114,0.37,0.7,6,31,monthly_combo,combo_pack|retention_pack,prepaid,19559,4.75
Seg-11614,Promising Customers — Premium Dual (Voice Rescue),rescue,reduce_churn,Promising Customers,high,high,Early Recovery,Declining,Voice Rescue,Voice saver,Data Trial Voice Weak,"Data recovering, voice declining",24203,8.76,4.2,19.13,212018.28,116610.05,95408.23,0.77,11.43,39,15.05,231,0.21,0.86,0,27,premium_combo,ott_bundle|loyalty_pack,prepaid,24203,8.76
Seg-11516,Promising Customers — Data Heavy (Voice Rescue),rescue,reduce_churn,Promising Customers,high,low,Early Recovery,Declining,Voice Rescue,Voice saver,Data Recovery Voice Weak,"Data recovering, voice slipping",20662,6.57,2.68,13.28,135749.34,114864.83,20884.51,1.03,6.76,29,15.02,41,0.15,0.91,4,70,data_heavy,data_addon|ott_bundle,prepaid,20662,6.57
Seg-11663,Promising Customers — Premium Dual (Voice Rescue),rescue,reduce_churn,Promising Customers,high,very_high,Early Recovery,Declining,Voice Rescue,Voice saver,Data Trial Voice Weak,"Data recovering, voice dropping",27257,11.28,4.16,24.89,307458.96,135281.94,172177.02,0.79,14.21,38,14.03,293,0.2,0.79,2,41,premium_combo,ott_bundle|loyalty_pack,prepaid,27257,11.28
Seg-11383,Promising Customers — MediumD-HighV (Voice Rescue),rescue,reduce_churn,Promising Customers,medium,high,Early Recovery,Declining,Voice Rescue,Voice saver,Data Trial Voice Drop,"Data improving, voice slipping",26903,5.97,2.44,18.49,160610.91,64952.94,95657.97,0.86,7.49,35,7.83,211,0.21,0.87,1,33,monthly_combo,combo_pack|retention_pack,prepaid,26903,5.97
Seg-11432,Promising Customers — MediumD-Very_HighV (Voice Rescue),rescue,reduce_churn,Promising Customers,medium,very_high,Early Recovery,Declining,Voice Rescue,VIP voice saver,Data Trial Voice Drop,"Data improving, voice slipping",23665,8.13,4.31,25.15,192396.45,58463.01,133933.44,0.97,8.58,31,7.03,357,0.2,0.81,5,8,monthly_combo,combo_pack|retention_pack,prepaid,23665,8.13
Seg-11994,Promising Customers — ZeroD-LowV (Data Conversion),monetization,increase_arpu,Promising Customers,Zero,low,Declining,Early Recovery,Data Conversion,Low-cost data add-on,Data Drop Voice Trial,Voice showing slight comeback,21325,1.98,0.95,5.95,42223.5,4222.35,38001.15,1.0,2.13,30,0.0,51,0.42,0.67,18,62,monthly_combo,combo_pack|retention_pack,prepaid,21325,1.98
Seg-12100,Promising Customers — Voice Heavy (Data Monetization),monetization,increase_arpu,Promising Customers,Zero,high,Dormant,Strong Growth,Data Monetization,Premium combo,Voice Breakout High,High voice growth from dormancy,23865,3.52,1.78,6.65,84004.8,8400.48,75604.32,1.03,3.24,29,0.0,237,0.54,0.57,15,20,voice_heavy,voice_pack|cross_sell_addon,prepaid,23865,3.52
Seg-12149,Promising Customers — Voice Heavy (Data Monetization),monetization,increase_arpu,Promising Customers,Zero,very_high,Dormant,Strong Growth,Data Monetization,Unlimited combo,Elite Voice Breakout,Very high voice explosive growth,19465,5.48,2.22,15.3,106668.2,10666.82,96001.38,0.86,6.71,35,0.0,372,0.52,0.55,24,69,voice_heavy,voice_pack|cross_sell_addon,prepaid,19465,5.48
Seg-1154,About to Sleep — Voice Heavy (Premium Monetization),monetization,increase_arpu,About to Sleep,Zero,very_high,Strong Growth,Rapid Expansion,Premium Monetization,Voice infinity max,Explosive VIP Voice Dominance,Extreme growth across voice behavior,10238,4.51,1.65,12.61,46173.38,4617.34,41556.04,0.6,8.21,50,0.0,288,0.78,0.38,64,31,voice_heavy,voice_pack|cross_sell_addon,prepaid,10238,4.51
Seg-3675,Can't Loose them — Silent (Account Protection),protection,reduce_churn,Can't Loose them,Zero,Zero,no_trend,no_trend,Account Protection,Executive intervention + bespoke retention,Completely Silent Critical VIP,No activity but too valuable to lose,1379,3.91,2.08,8.99,5391.89,2695.95,2695.94,0.71,5.28,42,0.0,0,0.9,0.19,83,9,inactive,reactivation_bonus|starter_pack,prepaid,1379,3.91
Seg-3577,Can't Loose them — Voice Heavy (Account Protection),protection,reduce_churn,Can't Loose them,Zero,high,no_trend,no_trend,Account Protection,Bespoke retention + premium habit rebuild,High Voice Critical VIP,"High voice only, no data, no movement",1228,6.64,2.55,20.53,8153.92,815.39,7338.53,0.67,9.13,45,0.0,188,0.67,0.44,19,28,voice_heavy,voice_pack|cross_sell_addon,prepaid,1228,6.64
Seg-3479,Can't Loose them — ZeroD-LowV (Account Protection),protection,reduce_churn,Can't Loose them,Zero,low,no_trend,no_trend,Account Protection,Bespoke retention + habit rebuild,Low Activity Premium Risk,"Low voice, zero data, no movement",1059,4.31,2.21,13.16,4564.29,456.43,4107.86,0.75,6.0,40,0.0,50,0.63,0.49,17,82,monthly_combo,combo_pack|retention_pack,prepaid,1059,4.31
Seg-3528,Can't Loose them — ZeroD-MediumV (Account Protection),protection,reduce_churn,Can't Loose them,Zero,medium,no_trend,no_trend,Account Protection,Bespoke retention + usage rebuild,Medium Voice Critical VIP,"Medium voice only, no growth, no data",1412,3.77,1.57,6.99,5323.24,532.32,4790.92,0.77,5.37,39,0.0,136,0.66,0.39,18,30,monthly_combo,combo_pack|retention_pack,prepaid,1412,3.77
Seg-3626,Can't Loose them — Voice Heavy (Account Protection),protection,reduce_churn,Can't Loose them,Zero,very_high,no_trend,no_trend,Account Protection,Executive retention + premium ecosystem rebuild,Ultimate Voice-Only Critical VIP,"Very-high voice, zero data, no movement",1389,10.23,3.95,31.74,14209.47,1420.95,12788.52,0.73,15.27,41,0.0,368,0.66,0.44,24,39,voice_heavy,voice_pack|cross_sell_addon,prepaid,1389,10.23
Seg-11130,Promising Customers — Voice Heavy (Data Expansion),engagement,increase_data_usage,Promising Customers,low,high,Declining,no_trend,Data Expansion,Data add-on premium,Data Drop Stable Voice,"Data weak, voice stable high",27035,4.25,1.66,9.25,114898.75,24541.48,90357.27,0.79,5.76,38,3.1,246,0.39,0.7,5,78,voice_heavy,voice_pack|cross_sell_addon,prepaid,27035,4.25
Seg-11179,Promising Customers — Voice Heavy (Data Expansion),engagement,increase_data_usage,Promising Customers,low,very_high,Declining,no_trend,Data Expansion,Premium data unlock,Data Drop Stable Elite Voice,"Data declines, voice elite stable",25831,6.68,3.59,19.2,172551.08,25649.48,146901.6,0.83,7.72,36,3.05,331,0.35,0.74,5,72,voice_heavy,voice_pack|cross_sell_addon,prepaid,25831,6.68
Seg-12208,Promising Customers — Silent (Voice Add-on),engagement,increase_data_usage,Promising Customers,Zero,Zero,Early Recovery,no_trend,Voice Add-on,Voice onboarding,Data Recovery Static Voice,"Data improving, voice flat",26737,1.93,0.75,3.55,51602.41,25801.21,25801.2,1.0,2.0,30,0.0,0,0.56,0.54,83,81,inactive,reactivation_bonus|starter_pack,prepaid,26737,1.93
Seg-11648,Promising Customers — Premium Dual (Base Expansion),engagement,increase_data_usage,Promising Customers,high,high,no_trend,no_trend,Base Expansion,Loyalty + premium bundle,Stable High-High Base,Both strong and stable,26659,9.66,3.76,23.68,257525.94,141639.27,115886.67,1.0,10.46,30,13.9,204,0.28,0.75,2,22,premium_combo,ott_bundle|loyalty_pack,prepaid,26659,9.66
Seg-12162,Promising Customers — Voice Heavy (Elite Combo),premium,increase_arpu,Promising Customers,Zero,very_high,Strong Growth,Early Recovery,Elite Combo,VIP dual-service,Data Surge Elite Voice Trial,"Data booming, voice recovering",24820,7.59,3.17,17.49,188383.8,18838.38,169545.42,1.03,8.08,29,0.0,370,0.27,0.78,1,68,voice_heavy,voice_pack|cross_sell_addon,prepaid,24820,7.59
Seg-12113,Promising Customers — Voice Heavy (Premium Combo),premium,increase_arpu,Promising Customers,Zero,high,Strong Growth,Early Recovery,Premium Combo,Dual-service premium,Data Surge Voice Trial,"Data booming, voice recovering",23189,4.35,2.33,12.84,100872.15,10087.22,90784.93,1.0,4.6,30,0.0,201,0.33,0.69,6,39,voice_heavy,voice_pack|cross_sell_addon,prepaid,23189,4.35
Seg-5198,Customers needing Attention — Balanced (User Shift Optimization),optimization,recommend_best_campaign,Customers needing Attention,medium,medium,Declining,Strong Growth,User Shift Optimization,Voice-first balanced bundle,Data Drop Voice Surge,Voice growing while data drops,13921,5.34,2.59,16.15,74338.14,40885.98,33452.16,0.81,6.46,37,7.33,102,0.56,0.53,24,45,monthly_combo,combo_pack|retention_pack,prepaid,13921,5.34
Seg-835,About to Sleep — Premium Dual (Retention + Activation),mixed,reduce_churn,About to Sleep,very_high,high,Declining,Dormant,Retention + Activation,Voice rescue,Voice Drop Premium Elite,Elite customer’s voice slipping into dormancy despite strong base,8921,4.44,1.91,11.71,39609.24,25956.69,13652.55,0.6,7.58,50,25.53,227,0.83,0.29,29,80,premium_combo,ott_bundle|loyalty_pack,prepaid,8921,4.44
Seg-786,About to Sleep — Very_HighD-MediumV (Retention + Activation),mixed,reduce_churn,About to Sleep,very_high,medium,Declining,Dormant,Retention + Activation,Voice retention pack,Voice Fade Premium,Strong data customer with moderate voice slipping silent,10618,4.49,1.75,11.4,47674.82,36894.08,10780.74,0.57,8.53,53,20.03,127,0.87,0.3,50,8,monthly_combo,combo_pack|retention_pack,prepaid,10618,4.49
